,scores,classes
0,0.9989057779312134,yes
1,0.9988872408866882,no
2,0.9984285235404968,yes
3,0.9970706701278687,no
4,0.9990233182907104,yes
5,0.9512951374053955,no
6,0.9979324340820312,no
7,0.9981335997581482,no
8,0.9996127486228943,yes
9,0.9972484707832336,no
10,0.9956517815589905,yes
11,0.9974729418754578,no
12,0.9983874559402466,yes
13,0.997542142868042,no
14,0.9897494912147522,yes
15,0.9967087507247925,no
16,0.9989950060844421,no
17,0.9988310933113098,no
18,0.9892338514328003,yes
19,0.9997389912605286,no
20,0.99847811460495,no
21,0.9975956082344055,yes
22,0.9953169822692871,no
23,0.9955610036849976,no
24,0.9957450032234192,no
25,0.987644612789154,yes
26,0.9820746779441833,yes
27,0.9984294772148132,no
28,0.9906107783317566,yes
29,0.9956314563751221,no
30,0.9979958534240723,no
31,0.9976790547370911,no
32,0.993767499923706,no
33,0.9986862540245056,no
34,0.9966185092926025,no
35,0.8972551226615906,yes
36,0.9812222123146057,yes
37,0.9969443678855896,no
38,0.9745320081710815,no
39,0.9786690473556519,yes
40,0.9990140199661255,no
41,0.9990066885948181,no
42,0.9983837604522705,no
43,0.9983516931533813,no
44,0.9991623163223267,no
45,0.9923398494720459,no
46,0.9988879561424255,no
47,0.9937633872032166,yes
48,0.9988818764686584,no
49,0.9980575442314148,yes
